snapshot_d,auc_static,auc_hazard,delta
90,0.6687792962302767,0.6757856341189674,0.007006337888690761
60,0.7331583660598078,0.747519291890075,0.014360925830267268
30,0.7483517562516434,0.7684470495038959,0.020095293252252455
14,0.728805578483878,0.7571093918487807,0.02830381336490273
7,0.7380820472887408,0.7665222945226893,0.028440247233948446
3,0.6818861444861101,0.7498356657404737,0.0679495212543636
1,0.6055332199086036,0.7174894996674164,0.11195627975881273
