snapshot_d,n_test,positive_rate,auc,ap
90,984,0.06707317073170732,0.6757856341189674,0.1654689729563739
60,2490,0.07751004016064257,0.747519291890075,0.20370628658834253
30,6401,0.07967505077331667,0.7684470495038959,0.25234894945731495
14,11428,0.062040602030101505,0.7571093918487807,0.1989462742336025
7,15804,0.06846368008099216,0.7665222945226893,0.2165101675524125
3,20412,0.07015481089555163,0.7498356657404737,0.17521952753487566
1,25007,0.06326228655976326,0.7174894996674164,0.13074215525593677
