split,n,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,gini,average_precision,brier
train,154101,0.21260731598107735,0.5,0.7759131997845569,0.4841074476686731,0.8223605896895889,0.6094460403990137,0.8809084658403418,0.7618169316806835,0.7025085023315121,0.1409675094779976
test,38526,0.2126096661994497,0.5,0.7735036079530706,0.48082574725826105,0.818947625442559,0.6059073254448559,0.8800785060053672,0.7601570120107344,0.7032932323138285,0.14216800759356849
