feature,auc_drop_mean,auc_drop_std
lead_time_days_log,0.11181716069553035,0.005679562180551812
channelCode,0.06293663204574629,0.005417096042204469
los_nights_log,0.05902666588866841,0.003283121133711169
cancellationFee_name,0.0532086007702182,0.004597114974769646
log_gross_amount,0.04104487104679651,0.0021188247652043353
guaranteeType,0.03382436690395607,0.005797243782564661
ratePlan_category,0.012238592601237008,0.003307169418313055
diff_gross_cancellation_fee_log,0.010989584548955511,0.0011395801405746481
gross_per_night_log,0.009131374722838093,0.002575949006403918
has_group,0.005335482553390114,0.003314201634140456
property_name,0.00409966157077839,0.0010726737108128783
stay_bucket,0.0024479227447776752,0.0006563053837213186
arrival_dow,0.0014380032675924913,0.0008816213251678584
has_corporate_code,8.166063718051397e-05,0.0010964744175735314
arrival_month,-0.00010532150776054738,0.0001298053060700607
is_weekend_arrival,-0.00013414634146342587,0.0005829399866634997
adults_n,-0.0003701423736725218,7.007777585157554e-05
unitGroup_name,-0.0005352141440075675,0.00028798550992706606
has_promo,-0.0006016162912826139,0.0001738820469202618
has_children,-0.0006626210759715478,0.00046979839768422507
