cv,roc_auc (val),roc_auc (val_std),average_precision (val),average_precision (val_std),f1 (val),f1 (val_std),neg_brier_score (val),neg_brier_score (val_std)
TimeSeriesSplit (primary),0.8986576833991036,0.01696377130452115,0.7436984885735446,0.0392531766281978,0.638270312758193,0.034329099337800324,-0.09523175408442815,0.006401206225778574
StratifiedKFold (diagnostic),0.9242156783955947,0.0006638622609055153,0.8073405165044134,0.0019303390934330865,0.6844994177032208,0.0014997138738889852,-0.08507406214872996,0.00034681252345277705
