feature,importance_mean,importance_std
has_corporate_code,-7.073472287029147e-05,1.0414472131436112e-05
is_weekend_arrival,5.8404889732077695e-06,4.137244227149655e-05
has_promo,8.429413263382202e-05,8.706537943966194e-05
stay_bucket,0.00022148937354378174,8.622520100535938e-05
arrival_month,0.00030419873613196646,0.00013130796869334203
adults_n,0.0003782596010992956,0.00019317459751811488
unitGroup_name,0.00045248050116863947,0.00012436651487633834
arrival_dow,0.0004665596288875529,0.00017301512358790157
los_nights,0.0008245636980309223,0.00019860908982867036
property_name,0.0009278338740569935,0.0007072527347130764
log_gross_amount,0.0011991052558920855,0.00014031868775918574
has_group,0.0016141906241216475,0.0002216589926091371
ratePlan_category,0.0021470470387662923,0.00012874051020192833
gross_per_night,0.0023683861483281055,0.00021204392211849398
guaranteeType,0.006071643833165541,0.0002468955310618283
diff_gross_cancellation_fee,0.00937085725139577,0.000345619910175449
primaryGuest_preferredLanguage,0.01169529342970741,0.00038442970836106153
cancellationFee_name,0.031533334737381624,0.0004385443930278281
lead_time_days,0.051444918512489515,0.0014289812578775034
channelCode,0.06637169644536542,0.0017482105081631694
primaryGuest_address_countryCode,0.09103994598947344,0.0007438692765483583
travelPurpose,0.15215919399350758,0.002899847987597421
is_international,0.15843295370991267,0.0011563224269722293
