name,threshold,n_flagged,pct_flagged,precision,recall,f1,lift
F1-optimal,0.3531371057033539,7011,0.14465811084058927,0.7543859649122807,0.5401899703809621,0.6295679085823116,3.7342529032211824
Precision-first,0.5713273882865906,2544,0.05249040564519457,0.9610849056603774,0.24971912981309366,0.3964329144710174,4.7574242710382855
Recall-first,0.1988324373960495,16610,0.3427144802541988,0.48579169175195663,0.8241241956899193,0.6112647248210296,2.4046961630528374
thr=0.10,0.1,36715,0.7575413692072793,0.2655317989922375,0.9957103462363395,0.41925773018535245,1.3143973210047781
thr=0.20,0.2,16398,0.33834027978376596,0.4900597633857788,0.8207537534470432,0.6136927717744091,2.4258233573950725
thr=0.30,0.3,9259,0.19104114224404736,0.6687547251323037,0.632417526299663,0.6500787401574804,3.3103734560578317
thr=0.40,0.4,5653,0.11663846820451451,0.8119582522554396,0.4687978756000409,0.5944055944055944,4.01923895963764
thr=0.50,0.5,3822,0.07885940659431354,0.9000523286237572,0.3513430701664794,0.5053992507162272,4.455309586260751
thr=0.60,0.6,2182,0.045021252011719554,0.9711274060494959,0.2164232458380145,0.3539630836047774,4.807135212092214
thr=0.70,0.7,568,0.01171955597738621,0.9876760563380281,0.05729751812889388,0.10831161309006661,4.889051960624949
thr=0.80,0.8,227,0.004683695786737094,1.0,0.023184557246450823,0.04531842683170294,4.950056174037381
thr=0.90,0.9,0,0.0,0.0,0.0,0.0,0.0
