split,n,positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,gini,average_precision,brier,lift@5%,lift@10%,lift@25%,prec@rec=0.6
train (temporal),144997,0.21675620874914653,0.5,0.8679283019648683,0.9346548672566372,0.42005790830125045,0.579619791895333,0.9276703578672287,0.8553407157344575,0.8186888559238313,0.09723696750337531,4.518663070895428,4.292125392647467,3.1171839063636595,0.8250940589727885
test (temporal),48466,0.20201790946230347,0.5,0.8610778690215821,0.9000523286237572,0.3513430701664794,0.5053992507162272,0.8909109344577691,0.7818218689155383,0.7398709850280455,0.10487618451947335,4.764224857272777,4.192279883314101,2.9041800232096846,0.6924708377518558
"test (random, diag)",48366,0.21306289542240417,0.5,0.8829136170036803,0.8033986928104575,0.5964095099466279,0.6846003898635478,0.9251871389425803,0.8503742778851606,0.8101984430179912,0.08341494490943815,4.635242467294039,4.322786598571962,3.0678983686930046,0.7994569433669512
