parent,gain
lead_time_days_log,0.1515981736492006
cancellationFee_name,0.05573856342630412
diff_gross_cancellation_fee_log,0.0247257264558292
channelCode,0.021807328743143905
guaranteeType,0.007263945617925116
ratePlan_category,0.00529746761582448
property_name,0.0035379565876997978
has_group,0.002980744544287517
los_nights_log,0.0018347531800677387
gross_per_night_log,0.0016446493173066124
arrival_month,0.0011745827984595669
log_gross_amount,0.0010219687244719556
adults_n,0.00048430388610110064
arrival_dow,0.0003813455479052319
unitGroup_name,0.0003064243202240968
has_corporate_code,3.4309721087644185e-05
is_weekend_arrival,0.0
has_children,-0.00013248337028826107
stay_bucket,-0.00015757381258019176
has_promo,-0.00024533201073637654
