parent,gain,std
lead_time_days_log,0.1515981736492006,0.00859927978561796
cancellationFee_name,0.05573856342630412,0.007609159593600538
diff_gross_cancellation_fee_log,0.0247257264558292,0.002535293559907629
channelCode,0.021807328743143905,0.003748286321486546
guaranteeType,0.007263945617925116,0.0033407391122127436
ratePlan_category,0.00529746761582448,0.0015066318685367527
property_name,0.0035379565876997978,0.0008609831921128578
has_group,0.002980744544287517,0.0006910314435502453
los_nights_log,0.0018347531800677387,0.0007269545177018071
gross_per_night_log,0.0016446493173066124,0.000329612455094652
arrival_month,0.0011745827984595669,0.00040772869014338764
log_gross_amount,0.0010219687244719556,0.0005634964649208692
adults_n,0.00048430388610110064,0.00023597886169102864
arrival_dow,0.0003813455479052319,0.000178060555053251
unitGroup_name,0.0003064243202240968,0.00019249997016039795
has_corporate_code,3.4309721087644185e-05,4.1665992245522395e-05
is_weekend_arrival,0.0,0.0
has_children,-0.00013248337028826107,9.145815182739838e-05
stay_bucket,-0.00015757381258019176,0.0002495443976793718
has_promo,-0.00024533201073637654,0.00028203360098739337
