group,n,auc
Fürth Hallstraße,658,0.6934915431614264
Wolfsburg Schachtweg,2361,0.7333810663330114
Bremen Am Wall,4470,0.7450117324186158
Gütersloh Langer Weg,2640,0.7556705434590993
Bielefeld Hauptbahnhof,5666,0.7778891329550308
Berlin Friedrichshain,3408,0.7790857116357601
Bochum Ehrenfeld,2815,0.7842198212736095
Osnabrück Johannisstraße,5414,0.7906162964156729
Cologne Ehrenfeld,2332,0.8041350267679144
Cologne Sülz,1390,0.836055204957644
Frankfurt Sachsenhausen,4136,0.8396390436828483
