feature,bucket,n,cancel_rate
lead_time_days_log,"(-0.001, 0.248]",14242,0.039390535037213875
lead_time_days_log,"(0.248, 1.047]",14241,0.10209957165929359
lead_time_days_log,"(1.047, 1.64]",14242,0.1416935823620278
lead_time_days_log,"(1.64, 2.093]",14240,0.18026685393258426
lead_time_days_log,"(2.093, 2.558]",14241,0.1702127659574468
lead_time_days_log,"(2.558, 2.953]",14241,0.19275331788497999
lead_time_days_log,"(2.953, 3.337]",14241,0.2309528825222948
lead_time_days_log,"(3.337, 3.782]",14241,0.27364651358752895
lead_time_days_log,"(3.782, 4.324]",14241,0.3065795941296257
lead_time_days_log,"(4.324, 5.901]",14242,0.39123718578851285
gross_per_night_log,"(-0.001, 4.263]",14246,0.18489400533483083
gross_per_night_log,"(4.263, 4.383]",14401,0.1754739254218457
gross_per_night_log,"(4.383, 4.476]",14084,0.1846066458392502
gross_per_night_log,"(4.476, 4.543]",14345,0.1930289299407459
gross_per_night_log,"(4.543, 4.614]",14175,0.19929453262786595
gross_per_night_log,"(4.614, 4.7]",14736,0.19252171552660152
gross_per_night_log,"(4.7, 4.787]",14000,0.20335714285714285
gross_per_night_log,"(4.787, 4.892]",13943,0.22061249372444955
gross_per_night_log,"(4.892, 5.058]",14243,0.2173699361089658
gross_per_night_log,"(5.058, 5.847]",14239,0.2585855748296931
