feature,level,n,cancel_rate,share,lift_vs_base
property_name,Frankfurt Sachsenhausen,23909,0.2780542891798068,0.1385571144607289,1.328502989755231
property_name,Berlin Friedrichshain,26095,0.24667560835409083,0.1512253921892476,1.1785802123922045
property_name,Cologne Ehrenfeld,13679,0.23320418159222164,0.07927235638079011,1.114215692851063
property_name,Cologne Sülz,4666,0.22653236176596656,0.027040340293352342,1.0823387072004067
property_name,Fürth Hallstraße,552,0.2210144927536232,0.0031989429579791025,1.0559751308585381
property_name,Wolfsburg Schachtweg,13271,0.19938211137065784,0.07690792028141426,0.9526187560025088
property_name,Bielefeld Hauptbahnhof,41876,0.18127328302607698,0.24267923063103786,0.8660974055579457
property_name,Bremen Am Wall,27712,0.17782909930715934,0.16059620878897987,0.8496415962217714
property_name,Osnabrück Johannisstraße,7280,0.17623626373626375,0.042188957851608457,0.8420312593182652
property_name,Gütersloh Langer Weg,9837,0.1647860119955271,0.057007249778334115,0.7873236203320458
property_name,Bochum Ehrenfeld,3680,0.1611413043478261,0.02132628638652735,0.7699097368021881
unitGroup_name,UPPER,4685,0.25250800426894343,0.027150448837195824,1.206446552570497
unitGroup_name,BIGGER AIRCON Not in use,140,0.21428571428571427,0.0008113261125309319,1.0238260050946948
unitGroup_name,BIG,134446,0.21099177364889993,0.7791396466095262,1.0080880353730541
unitGroup_name,BIGGER,21716,0.19962239823171854,0.12584827042658367,0.9537668117086792
unitGroup_name,BOX,7888,0.19510649087221096,0.04571243125459993,0.9321904625494548
unitGroup_name,UPPER AIR,1140,0.19298245614035087,0.0066065126306090165,0.9220421332431755
unitGroup_name,BIG AIRCON,698,0.19054441260744986,0.004045040189618503,0.9103935155140028
unitGroup_name,BIGGER AIRCON ,165,0.18181818181818182,0.0009562057754828839,0.8687008528076199
unitGroup_name,BIG WITH BALCONY,1656,0.1678743961352657,0.009596828873937308,0.8020794709799823
unitGroup_name,BIGGER COURTYARD,23,0.043478260869565216,0.00013328928991579594,0.2077328126279091
channelCode,feratel,47,0.3191489361702128,0.00027237376634967,1.5248472416303966
channelCode,HomeLike,36,0.3055555555555556,0.00020862671465081103,1.4599000443016947
channelCode,Booking.com,79492,0.25673023700498165,0.4606709666950631,1.2266197670525147
channelCode,Other,241,0.25311203319502074,0.0013966399508568183,1.2093325150081182
channelCode,HRS,11241,0.2426830353171426,0.06514369164971574,1.1595042785806895
channelCode,Expedia,7111,0.21726901982843483,0.041209571330053256,1.0380798054750036
channelCode,Synxis,904,0.19247787610619468,0.005238848612342588,0.9196313231602791
channelCode,GDS,174,0.1896551724137931,0.0010083624541455866,0.9061448550838104
channelCode,Rydoo,295,0.17288135593220338,0.001709580022833035,0.8260019973306352
channelCode,Ibe,44381,0.16725625830873572,0.25719617285882346,0.7991260982661565
channelCode,Airbnb,6515,0.160552570990023,0.03775564016527872,0.7670968543671891
channelCode,CRC Corporate Rates Club,672,0.13392857142857142,0.0038943653401484726,0.6398912531841843
channelCode,Direct,21310,0.11862975129047396,0.12349542470024398,0.5667957136291482
channelCode,TravelPerk,122,0.02459016393442623,0.0007070127552055263,0.11748823009283384
channelCode,Apartmentservice,3,0.0,1.7385559554234253e-05,0.0
channelCode,Tomas,11,0.0,6.374705169885892e-05,0.0
channelCode,ehotel AG,1,0.0,5.795186518078084e-06,0.0
channelCode,HousingAnywhere,1,0.0,5.795186518078084e-06,0.0
guaranteeType,CreditCard,134117,0.2510867376991731,0.7772330302450784,1.1996559474237516
guaranteeType,Company,7927,0.16689794373659644,0.045938443528804974,0.7974141233070072
guaranteeType,Prepayment,30513,0.03664012060433258,0.17682852622611658,0.17506117208776767
cancellationFee_name,Corporate Mediumstay,6,0.6666666666666666,3.477111910846851e-05,3.185236460294606
cancellationFee_name,OTA Mediumstay,379,0.662269129287599,0.002196375690351594,3.164225665701634
cancellationFee_name,OTA Midstay,6450,0.532093023255814,0.037378953041603644,2.5422631469142067
cancellationFee_name,Flexible Longstay,7276,0.36146234194612425,0.042165777105536144,1.7270145458854071
cancellationFee_name,Flexible Rate with Museum Pass,3,0.3333333333333333,1.7385559554234253e-05,1.592618230147303
cancellationFee_name,Flexible,93,0.3010752688172043,0.0005389523461812618,1.4384938852943383
cancellationFee_name,OTA Shortstay,60454,0.26511066265259536,0.3503422057638925,1.2666602230408655
cancellationFee_name,HRS,2547,0.2281115037298783,0.01476034006154488,1.0898836180395561
cancellationFee_name,Flexible Corporate Midstay,87,0.21839080459770116,0.0005041812270727933,1.0434395300965091
cancellationFee_name,Flexible Corporate Shortstay,3693,0.2033577037638776,0.021401623811262364,0.971613558765739
cancellationFee_name,Flexible Shortstay,47020,0.19491705657167163,0.2724896700800315,0.9312853729880923
cancellationFee_name,Airbnb,6263,0.16557560274628771,0.03629525316272304,0.7910961702040971
cancellationFee_name,Corporate Shortstay,423,0.15602836879432624,0.0024513638971470296,0.7454808736859717
cancellationFee_name,Flexible Midstay,5974,0.14378975560763307,0.034620444258998476,0.6870065582674255
cancellationFee_name,Airbnb Longstay,381,0.13385826771653545,0.00220796606338775,0.6395553522638777
cancellationFee_name,Flexible Mediumstay,249,0.12048192771084337,0.001443001443001443,0.5756451434267361
cancellationFee_name,Corporate Midstay,94,0.11702127659574468,0.00054474753269934,0.5591106552644788
cancellationFee_name,Corporate Longstay,181,0.08839779005524862,0.0010489287597721332,0.4223517958401688
