,mutual_info
lead_time_days,0.045349391767501857
gross_amount,0.03852137385810117
log_gross_amount,0.036625604258822
diff_gross_cancellation_fee,0.02456122047425291
ratePlan_type,0.023530403089171426
gross_per_night,0.022448284006546082
los_nights,0.017674773993935133
ratePlan_category,0.01675280435796478
company_prior_cancel_rate,0.016748278197082467
stay_bucket,0.009340751586917273
channelCode,0.006509929523046409
has_company,0.004802773829381435
company_prior_bookings,0.003212601661019443
has_group,0.002927597972373741
has_promo,0.0026068851507099478
has_corporate_code,0.0022573677359480904
adults_n,0.0017778883313643856
is_weekend_arrival,0.001477682684383197
arrival_month,0.0010678274899060813
has_children,0.0009479210473448685
arrival_dow,0.0008856150049834088
is_repeat_company,0.0003219726653234112
