,ROC_AUC,PR_AUC,Brier
logreg,0.7258130804068971,0.2336314376027796,0.11420328074795706
xgboost,0.737437873076302,0.26306349817589303,0.1213925133074258
histgb,0.7466795493338885,0.2731214647644181,0.10374720275872344
hazard,0.7353156416042629,0.3000060406936289,0.09924454837583513
baseline,0.4982960695527468,0.12423225375374262,0.21798570731057748
